"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:hg_product_brand","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:rs_page_bg_color","meta:slide_template","meta:total_sales","attribute:pa_cabeza-de-mazo","attribute_data:pa_cabeza-de-mazo","attribute_default:pa_cabeza-de-mazo","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_dimensiones-de-la-cabeza","attribute_data:pa_dimensiones-de-la-cabeza","attribute_default:pa_dimensiones-de-la-cabeza","attribute:pa_dimensiones-del-mango","attribute_data:pa_dimensiones-del-mango","attribute_default:pa_dimensiones-del-mango","attribute:pa_mango","attribute_data:pa_mango","attribute_default:pa_mango","attribute:pa_talla","attribute_data:pa_talla","attribute_default:pa_talla"
"Cabeza de Mazo The Brass Spot #3 The Brass Spot","cabeza-de-mazo-the-brass-spot-3-the-brass-spot","663","","Cabeza de mazo en varias maderas laminadas, con contrapesos en latón y tapas en resina.","draft","6","2020-12-02 10:25:52","0","1","closed","TBSMAZ0003","no","no","","","instock","no","no","200","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-3-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Cabeza de Mazo The Brass Spot #4 The Brass Spot","cabeza-de-mazo-the-brass-spot-4-the-brass-spot","665","","Cabeza de mazo rectangular, en madera de Sapelli, Arce y Amaranto laminado, con tapas de resina y contrapesos en latón.","draft","7","2020-12-02 10:25:52","0","1","closed","TBSMAZ0004","no","no","","","instock","no","no","200","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-4-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Cabeza de Mazo The Brass Spot #5 The Brass Spot","cabeza-de-mazo-the-brass-spot-5-the-brass-spot","667","","Cabeza de mazo Gruyere, en madera de Arce, Ébano y Peroba, laminado, con tapas de resina y contrapesos de latón.","draft","9","2020-12-02 10:25:52","0","1","closed","TBSMAZ0005","no","no","","","instock","no","no","320","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-5-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Cabeza de Mazo The Brass Spot #5 Mariposa The Brass Spot","cabeza-de-mazo-the-brass-spot-5-mariposa-the-brass-spot","669","","Cabeza Mariposa, en madera de Ébano, Arce y Amaranto, con tapas de latón.","draft","8","2020-12-02 10:25:52","0","1","closed","TBSMAZ0005MAR","no","no","","","instock","no","no","300","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-5-mariposa-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Cabeza de Mazo The Brass Spot #6 The Brass Spot","cabeza-de-mazo-the-brass-spot-6-the-brass-spot","671","","Cabeza de mazo Gruyere en varias maderas nobles con tapas de resina en fibra de vidrio y contrapesos de latón.","draft","10","2020-12-02 10:25:52","0","1","closed","TBSMAZ0006","no","no","","","instock","no","no","320","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-6-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Mango The Brass Spot Mango #1 The Brass Spot","mango-the-brass-spot-mango-1-the-brass-spot","673","","Mango en aluminio, grip octogonal con cinta-grip o grip termo retráctil.","draft","22","2020-12-02 10:25:52","0","1","closed","TBSMAN0001","no","no","","","instock","no","no","100","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mango-the-brass-spot-mango-1-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mangos","","","","","0","","","","","","","","","","","","","","","","","",""
"Mango The Brass Spot Mango #2 The Brass Spot","mango-the-brass-spot-mango-2-the-brass-spot","675","","Mango en fibra de carbono, grip octogonal con cinta-grip o grip termo retráctil.","draft","23","2020-12-02 10:25:52","0","1","closed","TBSMAN0002","no","no","","","instock","no","no","150","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mango-the-brass-spot-mango-2-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mangos","","","","","0","","","","","","","","","","","","","","","","","",""
"Trofeo minimazo en madera de ébano y arce","trofeo-minimazo-en-madera-de-ebano-y-arce","677","","Trofeo Minimazo en madera de ébano y arce","publish","54","2020-12-02 10:25:52","0","1","open","TBSTRO0001","no","no","","","instock","no","no","30","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/trofeo-minimazo-madera-eano-arce.jpg","","The Brass Spot","simple","","Croquet > Trofeos","","","","","2","","","","","","","","","","","","","","","","","",""
"Trofeo salto de rana sobre peana de bubinga","trofeo-salto-de-rana-sobre-peana-de-bubinga","679","","Trofeo salto de rana sobre peana de bubinga.","publish","55","2020-12-02 10:25:52","0","1","closed","TBSTRO0002","no","no","","","instock","no","no","45","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/trofeo-salto-rana-sobre-peana-bubinga.jpg","","The Brass Spot","simple","","Croquet > Trofeos","","","","","3","","","","","","","","","","","","","","","","","",""
"Purera Grande de Piel Ofelia T","purera-grande-de-piel-ofelia-t","688","","","draft","50","2020-12-02 10:40:03","0","1","closed","OTCC007","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/large-cigar-holder-light-brown.jpg","","Ofelia T","variable","","Accesorios","piel","","","","0","","","","Black|Dark Brown|Light Brown","0|1|1","black","","","","","","","","","","","",""
